BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
ALTRFRP1   ;BANQUE DEGROOF PETERCAM FRANCE                                                                                                              ;1;1;0;0;0
ANAANL21   ;ALLIANZ                                                                                                                                     ;1;0;0;0;0
ANBUNO21   ;ANDEBU SPAREBANK                                                                                                                            ;1;0;0;0;0
ANCOCY2N   ;ANCORIA BANK LTD                                                                                                                            ;1;1;0;0;0
ANDLNL2A   ;ANADOLUBANK NEDERLAND NV                                                                                                                    ;1;0;0;0;0
ANHODE77PAY;BANKHAUS ANTON HAFNER KG                                                                                                                    ;1;1;0;1;1
ANHODE77XXX;BANKHAUS ANTON HAFNER KG                                                                                                                    ;1;1;0;1;1
APSBMTMT   ;APS BANK LTD.                                                                                                                               ;1;1;0;0;0
APULIT31   ;BANCAPULIA SPA                                                                                                                              ;1;1;0;1;0
AQULCHZZ   ;AQUILA UND CO. AG                                                                                                                           ;1;0;0;0;0
ARABATWW   ;EUROPE ARAB BANK PLC                                                                                                                        ;1;1;0;1;0
ARABDEFF   ;EUROPE ARAB BANK PLC                                                                                                                        ;1;1;0;1;0
ARABESMM   ;EUROPE ARAB BANK, PLC-SUCURSAL EN ESPANA                                                                                                    ;1;1;0;1;0
ARABFRPP   ;EUROPE ARAB BANK PLC                                                                                                                        ;1;1;0;1;0
ARABGB2L   ;EUROPE ARAB BANK PLC                                                                                                                        ;1;1;0;1;0
ARABITRR   ;EUROPE ARAB BANK PLC-MILAN BRANCH                                                                                                           ;1;1;0;1;0
ARBAIT33   ;NUOVA BANCA ETRURIA                                                                                                                         ;1;1;0;1;0
ARBHCH22   ;ALPHA RHEINTAL BANK AG                                                                                                                      ;1;0;0;0;0
ARBNNL22   ;ACHMEA RETAIL BANK NV                                                                                                                       ;1;0;0;0;0
ARCUIE21   ;ARDEE CREDIT UNION LIMITED                                                                                                                  ;1;1;0;0;0
AREBESMM   ;ARESBANK, S.A.                                                                                                                              ;1;1;0;0;0
ARENNO21   ;ARENDAL OG OMEGNS SPAREKASSE                                                                                                                ;1;0;0;0;0
ARNECH22   ;BANCA ARNER S.A.                                                                                                                            ;1;0;0;0;0
ARRUIE21   ;ARKLOW CREDIT UNION                                                                                                                         ;1;0;0;0;0
ARSNNL21   ;ARGENTA SPAARBANK-BIJKANTOOR NEDERLAND                                                                                                      ;1;0;0;0;0
ARSPBE22   ;ARGENTA                                                                                                                                     ;1;1;0;1;0
ARTCITR1   ;ARTIGIANCASSA SPA                                                                                                                           ;1;1;0;1;0
ARTENL2A   ;GE ARTESIA BANK                                                                                                                             ;1;0;0;0;0
ASKSNO21   ;ASKIM SPAREBANK                                                                                                                             ;1;0;0;0;0
ASNBNL21   ;ASN BANK                                                                                                                                    ;1;1;0;1;0
ASPKAT2L   ;ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT                                                                                 ;1;1;0;1;0
ASRNIE21   ;A.S.T.I. CREDIT UNION LIMITED                                                                                                               ;1;1;0;0;0
ASTTSMSM   ;ASSET BANCA                                                                                                                                 ;1;1;0;1;0
ASTTSMS1   ;ASSET BANCA                                                                                                                                 ;1;1;0;1;0
ATBANL2A   ;AMSTERDAM TRADE BANK N.V.                                                                                                                   ;1;0;0;0;0
ATCUIE21   ;ATHBOY CREDIT UNION LIMITED                                                                                                                 ;1;0;0;0;0
ATEUIE21   ;ATHY CREDIT UNION LIMITED                                                                                                                   ;1;0;0;0;0
ATPIITM1   ;A-TONO PAYMENT INSTITUTE SPA                                                                                                                ;1;0;0;0;0
ATROIE21   ;ATHLONE CREDIT UNION LIMITED                                                                                                                ;1;1;0;0;0
